generation	variant	commit	status	lines	classes	methods	ast_nodes	cyclomatic	combined_score	gini	population	trade_price	trade_volume	survival	wealth_cv	entropy	passes	description
1	1	db0531c	pass	37	1	5	1648	50	689.20	0.3399	67	0.9891	6075	0.3333	0.5938	3.0086	PASS	Eliminated the `Trader` class by using a list-based agent representation to reduce class-related AST nodes and structural complexity.
2	1	1e30572	fail	37	1	5	1593	49	666.60	0.3258	47	1.0667	5584	0.2333	0.5751	3.5256	FAIL	Simplified the movement search and merged trade condition branches to reduce cyclomatic complexity and AST nodes.
2	1	1e30572	fail	35	1	5	1531	39	635.80	0.3594	61	0.9857	3415	0.3067	0.6304	3.5512	FAIL	Merged the two agent update loops (movement/consumption and trade) into a single pass and replaced the nested `while` loop in the trade logic with a single-interaction `if` statement to reduce cyclomatic complexity and structural depth.
2	1	1e30572	fail	56	1	5	1567	44	653.20	0.3467	72	0.9949	4907	0.3583	0.6123	2.8712	FAIL	Simplified the movement search by replacing the complex list comprehension with a standard loop to reduce AST nodes and replaced the nested `while` loop in the trade logic with a single `if` statement to reduce cyclomatic complexity.
2	1	1e30572	fail	36	1	5	1537	50	644.80	0.3380	62	1.0202	5564	0.3100	0.5898	3.6136	FAIL	Simplified the utility and MRS calculations by removing the metabolism-based normalization (which is a monotonic transformation) and inlined several agent updates to reduce AST nodes and cyclomatic complexity.
2	1	1e30572	fail	37	1	5	1622	50	678.80	0.3485	71	0.9914	5849	0.3567	0.6119	3.0553	FAIL	Simplified movement by removing the Manhattan distance tie-breaker and streamlined trade logic by removing `math.isclose` and inlining metabolism sums to reduce AST nodes and cyclomatic complexity.
1	1	1e30572	crash	37	1	5	-1	-1	inf	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Simplified agent initialization, pre-calculated movement exponents to reduce AST nodes, and merged trade conditional branches to reduce cyclomatic complexity.
1	1	1e30572	fail	37	1	5	1625	49	679.40	0.3535	61	1.0795	4846	0.3050	0.6234	2.9167	FAIL	Simplified agent initialization using vectorized `rng.integers`, reduced movement complexity by using a negative Manhattan distance in the tuple to allow for a simpler `max(c)` call, and streamlined the trade logic and MRS calculations to reduce AST nodes.
1	1	1e30572	crash	34	1	5	1397	48	587.60	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Simplified agent initialization, movement tie-breaking, and trade logic by removing redundant utility checks and streamlining MRS calculations.
1	1	1e30572	crash	38	1	5	1551	50	650.40	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Simplified the utility and MRS calculations using mathematical identities to reduce AST nodes and removed the `math` dependency to reduce structural complexity.
1	1	1e30572	fail	39	1	5	1645	47	686.20	0.3371	60	0.9830	5604	0.3017	0.5882	3.6274	FAIL	Simplified movement and trade logic by inlining variables, removing redundant shuffle operations, and streamlining MRS and utility calculations to reduce AST nodes and cyclomatic complexity.
1	1	1e30572	crash	37	1	5	1547	48	647.60	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Simplified movement and trade logic by replacing the complex list comprehension with a more efficient tuple-based `max()` call and replacing the heavy utility calculation with a ratio-based mathematical identity to reduce AST nodes and cyclomatic complexity.
1	1	1e30572	fail	33	1	5	1596	49	667.80	0.3544	66	0.9902	5399	0.3283	0.6254	2.9015	FAIL	Simplified movement tie-breaking by using a tuple-based `max()` instead of a `lambda` key, and collapsed the trade loop's conditional branches into a single complex `if` statement to reduce cyclomatic complexity and AST nodes.
